country,word,Frequency %
uk,england,0.005839
uk,labour,0.005401
uk,tory,0.005255
uk,trump,0.00512
uk,death,0.005003
uk,win,0.004911
uk,britain,0.00483
uk,election,0.004745
uk,deal,0.004678
uk,holiday,0.004583
uk,sunak,0.004504
uk,israel,0.004437
uk,christmas,0.004376
uk,return,0.00432
uk,attack,0.004265
uk,reveals,0.004215
uk,review,0.00417
uk,police,0.004129
uk,market,0.004092
uk,share,0.004058
uk,harry,0.004026
uk,prince,0.003997
uk,british,0.003969
uk,expert,0.003944
uk,break,0.00392
uk,starmer,0.003896
uk,price,0.003874
uk,warning,0.003841
uk,team,0.003808
uk,gaza,0.003776
uk,tax,0.003746
uk,free,0.003717
uk,final,0.00369
uk,don,0.003663
uk,film,0.003638
uk,league,0.003612
uk,health,0.003588
uk,royal,0.003565
uk,pay,0.003542
uk,sale,0.003519
uk,strictly,0.003496
uk,end,0.003474
uk,party,0.003453
uk,sex,0.003432
uk,secret,0.003413
uk,business,0.003394
uk,save,0.003376
uk,ukraine,0.003358
uk,huge,0.00334
uk,europe,0.003322
uk,rise,0.003304
uk,wife,0.003286
uk,european,0.003269
uk,moment,0.003252
uk,amid,0.003235
uk,won,0.003218
uk,cancer,0.003202
uk,kate,0.003185
uk,cost,0.003168
uk,hamas,0.003152
uk,sign,0.003137
uk,meghan,0.003122
uk,issue,0.003107
uk,fear,0.003092
uk,bank,0.003078
uk,baby,0.003064
uk,risk,0.00305
uk,major,0.003036
uk,job,0.003023
uk,tried,0.00301
uk,revealed,0.002997
uk,euro,0.002983
uk,killed,0.002969
uk,really,0.002956
uk,biden,0.002943
uk,bill,0.00293
uk,court,0.002917
uk,warns,0.002904
uk,rishi,0.002892
uk,sport,0.00288
uk,dead,0.002868
uk,post,0.002856
uk,scotland,0.002844
uk,son,0.002833
uk,away,0.002821
uk,itv,0.00281
uk,guide,0.002798
uk,doctor,0.002787
uk,row,0.002775
uk,putin,0.002764
uk,politics,0.002753
uk,going,0.002743
uk,today,0.002732
uk,utd,0.002721
uk,battle,0.002711
uk,husband,0.002701
uk,china,0.002691
uk,state,0.002681
uk,crisis,0.002671
uk,russia,0.002662
us,trump,0.014072
us,biden,0.009359
us,stock,0.00877
us,israel,0.006377
us,report,0.005693
us,american,0.00477
us,market,0.004691
us,gaza,0.00464
us,state,0.004441
us,election,0.004205
us,cbs,0.003681
us,america,0.003667
us,court,0.003657
us,case,0.003584
us,deal,0.003459
us,death,0.003407
us,video,0.003362
us,share,0.003342
us,china,0.003284
us,win,0.003226
us,hamas,0.003224
us,harris,0.003058
us,attack,0.003036
us,fed,0.002898
us,health,0.00284
us,tech,0.002711
us,earnings,0.00267
us,trial,0.002656
us,price,0.002639
us,president,0.00261
us,sport,0.002609
us,police,0.002525
us,company,0.002477
us,killed,0.002457
us,sale,0.002454
us,amid,0.002411
us,business,0.002383
us,billion,0.002334
us,ceo,0.002332
us,former,0.002322
us,update,0.002312
us,today,0.002222
us,ukraine,0.002216
us,expert,0.002208
us,ahead,0.002208
us,dead,0.002157
us,photo,0.002152
us,official,0.00215
us,end,0.00209
us,inflation,0.002082
us,judge,0.002082
us,buy,0.002071
us,bill,0.002063
us,israeli,0.002059
us,apple,0.00203
us,strike,0.002005
us,job,0.001994
us,york,0.00197
us,medium,0.001963
us,student,0.00194
us,california,0.001923
us,amazon,0.001921
us,shooting,0.001911
us,gop,0.001894
us,republican,0.001893
us,nyc,0.00188
us,campaign,0.001871
us,texas,0.001852
us,return,0.001825
us,post,0.001818
us,history,0.001809
us,key,0.001806
us,fall,0.001801
us,nvidia,0.001783
us,kid,0.001772
us,taylor,0.001756
us,500,0.001754
us,rally,0.001743
us,investor,0.001728
us,rise,0.001711
us,florida,0.00171
us,team,0.00169
us,climate,0.001633
us,supreme,0.001632
us,pay,0.001631
us,risk,0.00163
us,race,0.001617
us,russia,0.001609
us,leader,0.001608
us,launch,0.0016
us,don,0.001592
us,global,0.001586
us,ban,0.001573
us,wall,0.001572
us,biggest,0.00157
us,future,0.00156
us,analyst,0.001558
us,tax,0.001533
us,bank,0.001528
us,debate,0.001521
